"","writing"
"first",0.38
"program",0.36
"administration",0.33
"composition",0.32
"rhetoric",0.32
"guided",0.3
"resides",0.3
"creative",0.29
"pedagogy",0.29
"tutoring",0.27
"year",0.27
"center",0.26
"aligned",0.25
"almost",0.25
"analogous",0.25
"components",0.25
"kennedy",0.25
"pharies",0.25
"productively",0.25
"strives",0.25
"tasks",0.25
"technical",0.25
"ufl",0.25
"lecturers",0.24
"professional",0.24
"tampa",0.24
"workshops",0.24
"allied",0.22
"article",0.22
"confirming",0.22
"dartmouth",0.22
"experience",0.22
"familial",0.22
"fiscal",0.22
"genetics",0.22
"height",0.22
"mainly",0.22
"persuasion",0.22
"teaching",0.22
"umass",0.22
"review",0.21
"time",0.21
"tutor",0.21
"uwp",0.21
"verification",0.21
"across",0.2
"initial",0.2
"nyu",0.2
"pursuit",0.2
"renewal",0.2
