"","rhetoric"
"composition",0.67
"rhetorical",0.42
"confirmation",0.32
"employee",0.32
"facultyadministrativeopenings",0.32
"healthcare",0.32
"pdx",0.32
"portland",0.32
"rates",0.32
"reduced",0.32
"rotate",0.32
"sase",0.32
"spouse",0.32
"videoconferencing",0.32
"theory",0.3
"writing",0.3
"curricula",0.28
"crosslanguage",0.27
"mtu",0.27
"theorgy",0.27
"administration",0.26
"govst",0.26
"inquirybased",0.26
"night",0.26
"oriented",0.26
"qualification",0.26
"tuition",0.26
"weekends",0.26
"rhetorics",0.23
"contribute",0.22
"related",0.22
"aimed",0.21
"clearance",0.21
"comstock",0.21
"curricular",0.21
"datasupported",0.21
"distributed",0.21
"dmvw",0.21
"employing",0.21
"eng",0.21
"entirety",0.21
"even",0.21
"explaining",0.21
"grammars",0.21
"hardcopy",0.21
"hawaii",0.21
"identified",0.21
"michelle",0.21
"minne",0.21
"mpanek",0.21
