"","rhetoric"
"composition",0.65
"writing",0.44
"administration",0.37
"pedagogy",0.33
"theory",0.31
"discourse",0.29
"rhetorics",0.29
"program",0.27
"rhetorical",0.26
"literacies",0.25
"literacy",0.25
"multimodal",0.25
"first",0.23
"phd",0.23
"communication",0.22
"invigorate",0.22
"major",0.22
"mtpc",0.22
"professional",0.22
"ratings",0.22
"enrich",0.21
"center",0.2
"concentration",0.2
"consumer",0.2
"pool",0.2
"strong",0.2
"adjuncts",0.19
"nacogdoches",0.19
"paths",0.19
"piney",0.19
"sanders",0.19
"securing",0.19
"sfa",0.19
"sfas",0.19
"administrative",0.18
"areas",0.18
"auburn",0.18
"digital",0.18
"emerging",0.18
"freestanding",0.18
"homes",0.18
"technical",0.18
"professionally",0.17
"reduced",0.17
"related",0.17
"research",0.17
"town",0.17
"track",0.17
"trends",0.17
"abuse",0.16
